Week,aaapr: (Puerto Rico)
2017-01-01,6
2017-01-08,14
2017-01-15,8
2017-01-22,11
2017-01-29,18
2017-02-05,3
2017-02-12,11
2017-02-19,16
2017-02-26,16
2017-03-05,18
2017-03-12,15
2017-03-19,3
2017-03-26,0
2017-04-02,16
2017-04-09,6
2017-04-16,8
2017-04-23,19
2017-04-30,5
2017-05-07,8
2017-05-14,18
2017-05-21,6
2017-05-28,15
2017-06-04,9
2017-06-11,15
2017-06-18,14
2017-06-25,3
2017-07-02,15
2017-07-09,12
2017-07-16,29
2017-07-23,35
2017-07-30,22
2017-08-06,33
2017-08-13,29
2017-08-20,20
2017-08-27,28
2017-09-03,20
2017-09-10,29
2017-09-17,24
2017-09-24,34
2017-10-01,100
2017-10-08,38
2017-10-15,74
2017-10-22,44
2017-10-29,42
2017-11-05,32
2017-11-12,17
2017-11-19,9
2017-11-26,7
2017-12-03,26
2017-12-10,22
2017-12-17,4
2017-12-24,20
2017-12-31,15
2018-01-07,16
2018-01-14,16
2018-01-21,15
2018-01-28,12
2018-02-04,18
2018-02-11,15
2018-02-18,18
2018-02-25,9
2018-03-04,17
2018-03-11,9
2018-03-18,26
2018-03-25,9
2018-04-01,11
2018-04-08,25
2018-04-15,15
2018-04-22,6
2018-04-29,8
2018-05-06,6
2018-05-13,14
2018-05-20,12
2018-05-27,3
2018-06-03,24
2018-06-10,9
