Week,amazon: (Puerto Rico)
2017-01-01,52
2017-01-08,46
2017-01-15,43
2017-01-22,42
2017-01-29,40
2017-02-05,45
2017-02-12,39
2017-02-19,39
2017-02-26,43
2017-03-05,34
2017-03-12,35
2017-03-19,37
2017-03-26,43
2017-04-02,40
2017-04-09,41
2017-04-16,43
2017-04-23,41
2017-04-30,38
2017-05-07,42
2017-05-14,40
2017-05-21,46
2017-05-28,47
2017-06-04,40
2017-06-11,40
2017-06-18,42
2017-06-25,45
2017-07-02,45
2017-07-09,51
2017-07-16,48
2017-07-23,51
2017-07-30,41
2017-08-06,46
2017-08-13,50
2017-08-20,42
2017-08-27,39
2017-09-03,33
2017-09-10,41
2017-09-17,34
2017-09-24,49
2017-10-01,84
2017-10-08,82
2017-10-15,82
2017-10-22,77
2017-10-29,76
2017-11-05,74
2017-11-12,67
2017-11-19,85
2017-11-26,100
2017-12-03,76
2017-12-10,84
2017-12-17,72
2017-12-24,72
2017-12-31,65
2018-01-07,57
2018-01-14,67
2018-01-21,59
2018-01-28,61
2018-02-04,55
2018-02-11,47
2018-02-18,49
2018-02-25,44
2018-03-04,52
2018-03-11,52
2018-03-18,50
2018-03-25,53
2018-04-01,45
2018-04-08,42
2018-04-15,47
2018-04-22,45
2018-04-29,42
2018-05-06,42
2018-05-13,42
2018-05-20,41
2018-05-27,44
2018-06-03,42
2018-06-10,45
