Week,banco popular: (Puerto Rico)
2017-01-01,21
2017-01-08,23
2017-01-15,25
2017-01-22,20
2017-01-29,21
2017-02-05,20
2017-02-12,20
2017-02-19,20
2017-02-26,23
2017-03-05,21
2017-03-12,23
2017-03-19,20
2017-03-26,25
2017-04-02,24
2017-04-09,28
2017-04-16,24
2017-04-23,24
2017-04-30,24
2017-05-07,24
2017-05-14,22
2017-05-21,21
2017-05-28,25
2017-06-04,25
2017-06-11,27
2017-06-18,22
2017-06-25,25
2017-07-02,23
2017-07-09,27
2017-07-16,23
2017-07-23,22
2017-07-30,30
2017-08-06,24
2017-08-13,23
2017-08-20,21
2017-08-27,21
2017-09-03,22
2017-09-10,24
2017-09-17,21
2017-09-24,97
2017-10-01,100
2017-10-08,74
2017-10-15,60
2017-10-22,42
2017-10-29,29
2017-11-05,30
2017-11-12,28
2017-11-19,26
2017-11-26,29
2017-12-03,31
2017-12-10,30
2017-12-17,30
2017-12-24,27
2017-12-31,26
2018-01-07,28
2018-01-14,29
2018-01-21,26
2018-01-28,27
2018-02-04,22
2018-02-11,27
2018-02-18,25
2018-02-25,28
2018-03-04,22
2018-03-11,27
2018-03-18,26
2018-03-25,23
2018-04-01,26
2018-04-08,27
2018-04-15,25
2018-04-22,24
2018-04-29,23
2018-05-06,25
2018-05-13,21
2018-05-20,21
2018-05-27,25
2018-06-03,21
2018-06-10,25
