Week,caribbean cinemas: (Puerto Rico)
2017-01-01,66
2017-01-08,48
2017-01-15,45
2017-01-22,43
2017-01-29,39
2017-02-05,49
2017-02-12,45
2017-02-19,42
2017-02-26,47
2017-03-05,42
2017-03-12,56
2017-03-19,70
2017-03-26,52
2017-04-02,39
2017-04-09,61
2017-04-16,42
2017-04-23,36
2017-04-30,35
2017-05-07,28
2017-05-14,42
2017-05-21,53
2017-05-28,71
2017-06-04,52
2017-06-11,51
2017-06-18,56
2017-06-25,58
2017-07-02,65
2017-07-09,55
2017-07-16,49
2017-07-23,52
2017-07-30,42
2017-08-06,44
2017-08-13,43
2017-08-20,36
2017-08-27,34
2017-09-03,48
2017-09-10,53
2017-09-17,28
2017-09-24,7
2017-10-01,44
2017-10-08,40
2017-10-15,43
2017-10-22,46
2017-10-29,50
2017-11-05,62
2017-11-12,83
2017-11-19,86
2017-11-26,66
2017-12-03,63
2017-12-10,69
2017-12-17,70
2017-12-24,100
2017-12-31,84
2018-01-07,64
2018-01-14,56
2018-01-21,50
2018-01-28,43
2018-02-04,46
2018-02-11,58
2018-02-18,57
2018-02-25,51
2018-03-04,42
2018-03-11,42
2018-03-18,58
2018-03-25,75
2018-04-01,48
2018-04-08,51
2018-04-15,56
2018-04-22,63
2018-04-29,63
2018-05-06,42
2018-05-13,43
2018-05-20,43
2018-05-27,46
2018-06-03,45
2018-06-10,53
