Week,delta: (Puerto Rico)
2017-01-01,11
2017-01-08,8
2017-01-15,8
2017-01-22,8
2017-01-29,7
2017-02-05,8
2017-02-12,9
2017-02-19,8
2017-02-26,9
2017-03-05,10
2017-03-12,11
2017-03-19,7
2017-03-26,11
2017-04-02,8
2017-04-09,10
2017-04-16,7
2017-04-23,8
2017-04-30,8
2017-05-07,9
2017-05-14,10
2017-05-21,8
2017-05-28,11
2017-06-04,11
2017-06-11,11
2017-06-18,8
2017-06-25,12
2017-07-02,10
2017-07-09,12
2017-07-16,9
2017-07-23,8
2017-07-30,9
2017-08-06,10
2017-08-13,9
2017-08-20,8
2017-08-27,7
2017-09-03,16
2017-09-10,11
2017-09-17,11
2017-09-24,100
2017-10-01,42
2017-10-08,33
2017-10-15,27
2017-10-22,20
2017-10-29,23
2017-11-05,20
2017-11-12,13
2017-11-19,9
2017-11-26,10
2017-12-03,11
2017-12-10,10
2017-12-17,11
2017-12-24,9
2017-12-31,11
2018-01-07,11
2018-01-14,12
2018-01-21,6
2018-01-28,9
2018-02-04,11
2018-02-11,9
2018-02-18,9
2018-02-25,9
2018-03-04,8
2018-03-11,10
2018-03-18,11
2018-03-25,8
2018-04-01,11
2018-04-08,6
2018-04-15,7
2018-04-22,8
2018-04-29,8
2018-05-06,7
2018-05-13,10
2018-05-20,10
2018-05-27,10
2018-06-03,9
2018-06-10,9
