Week,el nuevo dia: (Puerto Rico)
2017-01-01,44
2017-01-08,44
2017-01-15,44
2017-01-22,44
2017-01-29,39
2017-02-05,39
2017-02-12,40
2017-02-19,40
2017-02-26,37
2017-03-05,43
2017-03-12,44
2017-03-19,46
2017-03-26,40
2017-04-02,41
2017-04-09,46
2017-04-16,43
2017-04-23,40
2017-04-30,52
2017-05-07,44
2017-05-14,37
2017-05-21,41
2017-05-28,42
2017-06-04,39
2017-06-11,46
2017-06-18,44
2017-06-25,38
2017-07-02,39
2017-07-09,32
2017-07-16,34
2017-07-23,33
2017-07-30,36
2017-08-06,34
2017-08-13,35
2017-08-20,33
2017-08-27,36
2017-09-03,55
2017-09-10,39
2017-09-17,67
2017-09-24,100
2017-10-01,65
2017-10-08,56
2017-10-15,53
2017-10-22,63
2017-10-29,50
2017-11-05,43
2017-11-12,42
2017-11-19,44
2017-11-26,39
2017-12-03,45
2017-12-10,38
2017-12-17,45
2017-12-24,44
2017-12-31,41
2018-01-07,37
2018-01-14,40
2018-01-21,42
2018-01-28,38
2018-02-04,33
2018-02-11,39
2018-02-18,41
2018-02-25,39
2018-03-04,37
2018-03-11,36
2018-03-18,42
2018-03-25,35
2018-04-01,35
2018-04-08,38
2018-04-15,41
2018-04-22,32
2018-04-29,39
2018-05-06,34
2018-05-13,36
2018-05-20,37
2018-05-27,34
2018-06-03,37
2018-06-10,35
