Week,facebook: (Puerto Rico)
2017-01-01,93
2017-01-08,76
2017-01-15,75
2017-01-22,76
2017-01-29,74
2017-02-05,69
2017-02-12,75
2017-02-19,74
2017-02-26,71
2017-03-05,71
2017-03-12,69
2017-03-19,76
2017-03-26,71
2017-04-02,72
2017-04-09,75
2017-04-16,71
2017-04-23,71
2017-04-30,75
2017-05-07,72
2017-05-14,78
2017-05-21,73
2017-05-28,74
2017-06-04,75
2017-06-11,77
2017-06-18,70
2017-06-25,75
2017-07-02,73
2017-07-09,72
2017-07-16,75
2017-07-23,75
2017-07-30,69
2017-08-06,70
2017-08-13,70
2017-08-20,71
2017-08-27,69
2017-09-03,78
2017-09-10,67
2017-09-17,82
2017-09-24,100
2017-10-01,73
2017-10-08,64
2017-10-15,64
2017-10-22,69
2017-10-29,66
2017-11-05,63
2017-11-12,61
2017-11-19,61
2017-11-26,54
2017-12-03,53
2017-12-10,58
2017-12-17,57
2017-12-24,61
2017-12-31,62
2018-01-07,56
2018-01-14,57
2018-01-21,53
2018-01-28,52
2018-02-04,54
2018-02-11,56
2018-02-18,53
2018-02-25,54
2018-03-04,54
2018-03-11,51
2018-03-18,51
2018-03-25,56
2018-04-01,51
2018-04-08,54
2018-04-15,51
2018-04-22,51
2018-04-29,50
2018-05-06,45
2018-05-13,47
2018-05-20,50
2018-05-27,48
2018-06-03,50
2018-06-10,49
