Week,fox news: (Puerto Rico)
2017-01-01,26
2017-01-08,15
2017-01-15,33
2017-01-22,18
2017-01-29,27
2017-02-05,29
2017-02-12,24
2017-02-19,22
2017-02-26,37
2017-03-05,20
2017-03-12,13
2017-03-19,29
2017-03-26,23
2017-04-02,20
2017-04-09,19
2017-04-16,21
2017-04-23,19
2017-04-30,10
2017-05-07,2
2017-05-14,13
2017-05-21,31
2017-05-28,13
2017-06-04,25
2017-06-11,17
2017-06-18,16
2017-06-25,28
2017-07-02,15
2017-07-09,19
2017-07-16,15
2017-07-23,13
2017-07-30,16
2017-08-06,30
2017-08-13,33
2017-08-20,23
2017-08-27,15
2017-09-03,5
2017-09-10,19
2017-09-17,13
2017-09-24,100
2017-10-01,52
2017-10-08,21
2017-10-15,27
2017-10-22,0
2017-10-29,23
2017-11-05,26
2017-11-12,9
2017-11-19,6
2017-11-26,8
2017-12-03,8
2017-12-10,29
2017-12-17,30
2017-12-24,9
2017-12-31,25
2018-01-07,19
2018-01-14,32
2018-01-21,25
2018-01-28,24
2018-02-04,22
2018-02-11,29
2018-02-18,11
2018-02-25,17
2018-03-04,23
2018-03-11,10
2018-03-18,19
2018-03-25,9
2018-04-01,10
2018-04-08,19
2018-04-15,34
2018-04-22,8
2018-04-29,17
2018-05-06,16
2018-05-13,27
2018-05-20,12
2018-05-27,17
2018-06-03,13
2018-06-10,19
