Category: All categories

Week,google.com.pr: (Puerto Rico)
2017-01-01,0
2017-01-08,0
2017-01-15,24
2017-01-22,0
2017-01-29,22
2017-02-05,0
2017-02-12,23
2017-02-19,23
2017-02-26,0
2017-03-05,0
2017-03-12,44
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,23
2017-04-23,0
2017-04-30,69
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,25
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,24
2017-07-16,50
2017-07-23,50
2017-07-30,0
2017-08-06,24
2017-08-13,0
2017-08-20,22
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,75
2017-11-26,0
2017-12-03,93
2017-12-10,0
2017-12-17,32
2017-12-24,100
2017-12-31,0
2018-01-07,28
2018-01-14,0
2018-01-21,0
2018-01-28,26
2018-02-04,26
2018-02-11,26
2018-02-18,0
2018-02-25,25
2018-03-04,25
2018-03-11,0
2018-03-18,25
2018-03-25,0
2018-04-01,24
2018-04-08,48
2018-04-15,25
2018-04-22,0
2018-04-29,0
2018-05-06,24
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,25
2018-06-10,33
