Week,instagram: (Puerto Rico)
2017-01-01,80
2017-01-08,59
2017-01-15,66
2017-01-22,66
2017-01-29,68
2017-02-05,63
2017-02-12,70
2017-02-19,64
2017-02-26,68
2017-03-05,69
2017-03-12,67
2017-03-19,71
2017-03-26,71
2017-04-02,65
2017-04-09,72
2017-04-16,70
2017-04-23,68
2017-04-30,66
2017-05-07,72
2017-05-14,76
2017-05-21,79
2017-05-28,76
2017-06-04,76
2017-06-11,77
2017-06-18,73
2017-06-25,74
2017-07-02,89
2017-07-09,85
2017-07-16,73
2017-07-23,74
2017-07-30,69
2017-08-06,69
2017-08-13,69
2017-08-20,75
2017-08-27,68
2017-09-03,74
2017-09-10,66
2017-09-17,75
2017-09-24,48
2017-10-01,70
2017-10-08,63
2017-10-15,58
2017-10-22,58
2017-10-29,55
2017-11-05,62
2017-11-12,63
2017-11-19,70
2017-11-26,65
2017-12-03,69
2017-12-10,63
2017-12-17,67
2017-12-24,81
2017-12-31,89
2018-01-07,70
2018-01-14,75
2018-01-21,67
2018-01-28,70
2018-02-04,77
2018-02-11,74
2018-02-18,67
2018-02-25,73
2018-03-04,60
2018-03-11,78
2018-03-18,75
2018-03-25,81
2018-04-01,81
2018-04-08,80
2018-04-15,76
2018-04-22,83
2018-04-29,72
2018-05-06,72
2018-05-13,86
2018-05-20,76
2018-05-27,80
2018-06-03,100
2018-06-10,87
