Week,msnbc: (Puerto Rico)
2017-01-01,26
2017-01-08,8
2017-01-15,38
2017-01-22,30
2017-01-29,29
2017-02-05,29
2017-02-12,22
2017-02-19,22
2017-02-26,55
2017-03-05,7
2017-03-12,14
2017-03-19,22
2017-03-26,22
2017-04-02,30
2017-04-09,23
2017-04-16,7
2017-04-23,0
2017-04-30,29
2017-05-07,22
2017-05-14,16
2017-05-21,24
2017-05-28,8
2017-06-04,39
2017-06-11,31
2017-06-18,23
2017-06-25,16
2017-07-02,33
2017-07-09,39
2017-07-16,48
2017-07-23,24
2017-07-30,30
2017-08-06,7
2017-08-13,22
2017-08-20,21
2017-08-27,21
2017-09-03,28
2017-09-10,16
2017-09-17,16
2017-09-24,93
2017-10-01,78
2017-10-08,26
2017-10-15,0
2017-10-22,17
2017-10-29,100
2017-11-05,37
2017-11-12,12
2017-11-19,59
2017-11-26,41
2017-12-03,30
2017-12-10,0
2017-12-17,10
2017-12-24,11
2017-12-31,20
2018-01-07,9
2018-01-14,26
2018-01-21,34
2018-01-28,41
2018-02-04,8
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,55
2018-03-11,70
2018-03-18,32
2018-03-25,33
2018-04-01,15
2018-04-08,69
2018-04-15,32
2018-04-22,31
2018-04-29,8
2018-05-06,46
2018-05-13,31
2018-05-20,8
2018-05-27,24
2018-06-03,16
2018-06-10,31
