Week,netflix: (Puerto Rico)
2017-01-01,75
2017-01-08,76
2017-01-15,71
2017-01-22,62
2017-01-29,50
2017-02-05,66
2017-02-12,53
2017-02-19,62
2017-02-26,61
2017-03-05,47
2017-03-12,48
2017-03-19,57
2017-03-26,58
2017-04-02,57
2017-04-09,73
2017-04-16,68
2017-04-23,58
2017-04-30,69
2017-05-07,63
2017-05-14,54
2017-05-21,64
2017-05-28,64
2017-06-04,63
2017-06-11,73
2017-06-18,57
2017-06-25,89
2017-07-02,83
2017-07-09,76
2017-07-16,89
2017-07-23,95
2017-07-30,87
2017-08-06,82
2017-08-13,71
2017-08-20,70
2017-08-27,66
2017-09-03,91
2017-09-10,58
2017-09-17,100
2017-09-24,73
2017-10-01,73
2017-10-08,66
2017-10-15,56
2017-10-22,64
2017-10-29,62
2017-11-05,58
2017-11-12,68
2017-11-19,72
2017-11-26,64
2017-12-03,62
2017-12-10,56
2017-12-17,64
2017-12-24,82
2017-12-31,90
2018-01-07,81
2018-01-14,84
2018-01-21,75
2018-01-28,63
2018-02-04,65
2018-02-11,73
2018-02-18,72
2018-02-25,74
2018-03-04,77
2018-03-11,72
2018-03-18,78
2018-03-25,98
2018-04-01,74
2018-04-08,76
2018-04-15,74
2018-04-22,80
2018-04-29,78
2018-05-06,76
2018-05-13,73
2018-05-20,72
2018-05-27,83
2018-06-03,83
2018-06-10,73
