Week,noaa: (Puerto Rico)
2017-01-01,0
2017-01-08,1
2017-01-15,1
2017-01-22,0
2017-01-29,1
2017-02-05,0
2017-02-12,0
2017-02-19,1
2017-02-26,0
2017-03-05,1
2017-03-12,0
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,1
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,4
2017-06-25,2
2017-07-02,4
2017-07-09,2
2017-07-16,2
2017-07-23,2
2017-07-30,4
2017-08-06,3
2017-08-13,7
2017-08-20,5
2017-08-27,18
2017-09-03,91
2017-09-10,18
2017-09-17,100
2017-09-24,11
2017-10-01,6
2017-10-08,6
2017-10-15,3
2017-10-22,2
2017-10-29,2
2017-11-05,2
2017-11-12,1
2017-11-19,1
2017-11-26,1
2017-12-03,1
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,1
2018-01-14,0
2018-01-21,1
2018-01-28,1
2018-02-04,0
2018-02-11,1
2018-02-18,0
2018-02-25,1
2018-03-04,1
2018-03-11,0
2018-03-18,1
2018-03-25,0
2018-04-01,0
2018-04-08,1
2018-04-15,1
2018-04-22,0
2018-04-29,1
2018-05-06,0
2018-05-13,1
2018-05-20,1
2018-05-27,1
2018-06-03,0
2018-06-10,1
