Week,pinterest: (Puerto Rico)
2017-01-01,54
2017-01-08,71
2017-01-15,77
2017-01-22,71
2017-01-29,71
2017-02-05,81
2017-02-12,71
2017-02-19,88
2017-02-26,74
2017-03-05,77
2017-03-12,81
2017-03-19,66
2017-03-26,74
2017-04-02,65
2017-04-09,73
2017-04-16,69
2017-04-23,65
2017-04-30,82
2017-05-07,80
2017-05-14,71
2017-05-21,70
2017-05-28,69
2017-06-04,61
2017-06-11,61
2017-06-18,100
2017-06-25,54
2017-07-02,75
2017-07-09,73
2017-07-16,75
2017-07-23,63
2017-07-30,90
2017-08-06,80
2017-08-13,78
2017-08-20,78
2017-08-27,83
2017-09-03,41
2017-09-10,78
2017-09-17,47
2017-09-24,22
2017-10-01,74
2017-10-08,36
2017-10-15,53
2017-10-22,64
2017-10-29,74
2017-11-05,60
2017-11-12,58
2017-11-19,75
2017-11-26,76
2017-12-03,83
2017-12-10,84
2017-12-17,86
2017-12-24,73
2017-12-31,43
2018-01-07,57
2018-01-14,78
2018-01-21,71
2018-01-28,99
2018-02-04,79
2018-02-11,87
2018-02-18,54
2018-02-25,57
2018-03-04,93
2018-03-11,78
2018-03-18,73
2018-03-25,64
2018-04-01,64
2018-04-08,67
2018-04-15,58
2018-04-22,86
2018-04-29,72
2018-05-06,57
2018-05-13,87
2018-05-20,75
2018-05-27,83
2018-06-03,83
2018-06-10,85
