Week,plantas electricas: (Puerto Rico)
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,1
2017-01-29,0
2017-02-05,0
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,2
2017-03-12,1
2017-03-19,2
2017-03-26,0
2017-04-02,1
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,2
2017-05-07,3
2017-05-14,1
2017-05-21,0
2017-05-28,2
2017-06-04,1
2017-06-11,2
2017-06-18,2
2017-06-25,2
2017-07-02,2
2017-07-09,2
2017-07-16,4
2017-07-23,1
2017-07-30,2
2017-08-06,1
2017-08-13,5
2017-08-20,2
2017-08-27,16
2017-09-03,90
2017-09-10,42
2017-09-17,98
2017-09-24,52
2017-10-01,93
2017-10-08,100
2017-10-15,79
2017-10-22,60
2017-10-29,54
2017-11-05,36
2017-11-12,26
2017-11-19,20
2017-11-26,23
2017-12-03,15
2017-12-10,15
2017-12-17,18
2017-12-24,8
2017-12-31,14
2018-01-07,6
2018-01-14,8
2018-01-21,7
2018-01-28,6
2018-02-04,5
2018-02-11,3
2018-02-18,5
2018-02-25,7
2018-03-04,3
2018-03-11,4
2018-03-18,3
2018-03-25,3
2018-04-01,6
2018-04-08,8
2018-04-15,8
2018-04-22,8
2018-04-29,8
2018-05-06,3
2018-05-13,2
2018-05-20,2
2018-05-27,5
2018-06-03,2
2018-06-10,4
