Week,pornhub: (Puerto Rico)
2017-01-01,70
2017-01-08,68
2017-01-15,57
2017-01-22,60
2017-01-29,61
2017-02-05,58
2017-02-12,64
2017-02-19,59
2017-02-26,57
2017-03-05,63
2017-03-12,61
2017-03-19,61
2017-03-26,77
2017-04-02,64
2017-04-09,79
2017-04-16,62
2017-04-23,69
2017-04-30,56
2017-05-07,68
2017-05-14,68
2017-05-21,71
2017-05-28,61
2017-06-04,72
2017-06-11,73
2017-06-18,70
2017-06-25,78
2017-07-02,72
2017-07-09,67
2017-07-16,71
2017-07-23,74
2017-07-30,66
2017-08-06,70
2017-08-13,63
2017-08-20,58
2017-08-27,61
2017-09-03,63
2017-09-10,66
2017-09-17,61
2017-09-24,67
2017-10-01,100
2017-10-08,68
2017-10-15,77
2017-10-22,83
2017-10-29,92
2017-11-05,76
2017-11-12,75
2017-11-19,90
2017-11-26,70
2017-12-03,70
2017-12-10,84
2017-12-17,78
2017-12-24,94
2017-12-31,75
2018-01-07,91
2018-01-14,68
2018-01-21,67
2018-01-28,65
2018-02-04,72
2018-02-11,74
2018-02-18,77
2018-02-25,81
2018-03-04,68
2018-03-11,66
2018-03-18,75
2018-03-25,80
2018-04-01,68
2018-04-08,60
2018-04-15,71
2018-04-22,72
2018-04-29,83
2018-05-06,75
2018-05-13,72
2018-05-20,75
2018-05-27,71
2018-06-03,91
2018-06-10,71
