Week,skyscanner: (Puerto Rico)
2017-01-01,19
2017-01-08,34
2017-01-15,50
2017-01-22,32
2017-01-29,46
2017-02-05,16
2017-02-12,40
2017-02-19,40
2017-02-26,45
2017-03-05,15
2017-03-12,23
2017-03-19,32
2017-03-26,63
2017-04-02,56
2017-04-09,17
2017-04-16,40
2017-04-23,24
2017-04-30,23
2017-05-07,8
2017-05-14,17
2017-05-21,44
2017-05-28,26
2017-06-04,59
2017-06-11,17
2017-06-18,41
2017-06-25,68
2017-07-02,18
2017-07-09,8
2017-07-16,34
2017-07-23,34
2017-07-30,49
2017-08-06,65
2017-08-13,8
2017-08-20,53
2017-08-27,23
2017-09-03,30
2017-09-10,51
2017-09-17,71
2017-09-24,100
2017-10-01,84
2017-10-08,28
2017-10-15,22
2017-10-22,0
2017-10-29,31
2017-11-05,41
2017-11-12,25
2017-11-19,26
2017-11-26,44
2017-12-03,32
2017-12-10,21
2017-12-17,22
2017-12-24,58
2017-12-31,33
2018-01-07,19
2018-01-14,19
2018-01-21,9
2018-01-28,36
2018-02-04,35
2018-02-11,27
2018-02-18,26
2018-02-25,43
2018-03-04,34
2018-03-11,68
2018-03-18,34
2018-03-25,18
2018-04-01,41
2018-04-08,0
2018-04-15,17
2018-04-22,8
2018-04-29,50
2018-05-06,33
2018-05-13,25
2018-05-20,25
2018-05-27,43
2018-06-03,35
2018-06-10,51
