Week,twitter: (Puerto Rico)
2017-01-01,38
2017-01-08,36
2017-01-15,30
2017-01-22,33
2017-01-29,28
2017-02-05,29
2017-02-12,26
2017-02-19,32
2017-02-26,28
2017-03-05,34
2017-03-12,33
2017-03-19,42
2017-03-26,29
2017-04-02,27
2017-04-09,33
2017-04-16,27
2017-04-23,39
2017-04-30,40
2017-05-07,27
2017-05-14,34
2017-05-21,32
2017-05-28,40
2017-06-04,35
2017-06-11,46
2017-06-18,32
2017-06-25,27
2017-07-02,33
2017-07-09,31
2017-07-16,34
2017-07-23,33
2017-07-30,32
2017-08-06,33
2017-08-13,37
2017-08-20,28
2017-08-27,30
2017-09-03,38
2017-09-10,36
2017-09-17,43
2017-09-24,100
2017-10-01,76
2017-10-08,87
2017-10-15,53
2017-10-22,68
2017-10-29,66
2017-11-05,54
2017-11-12,48
2017-11-19,56
2017-11-26,33
2017-12-03,30
2017-12-10,40
2017-12-17,42
2017-12-24,32
2017-12-31,32
2018-01-07,40
2018-01-14,34
2018-01-21,31
2018-01-28,33
2018-02-04,32
2018-02-11,30
2018-02-18,24
2018-02-25,27
2018-03-04,23
2018-03-11,33
2018-03-18,27
2018-03-25,28
2018-04-01,33
2018-04-08,30
2018-04-15,35
2018-04-22,28
2018-04-29,29
2018-05-06,27
2018-05-13,29
2018-05-20,31
2018-05-27,32
2018-06-03,33
2018-06-10,29
