Week,usps: (Puerto Rico)
2017-01-01,40
2017-01-08,33
2017-01-15,27
2017-01-22,26
2017-01-29,25
2017-02-05,23
2017-02-12,25
2017-02-19,21
2017-02-26,21
2017-03-05,21
2017-03-12,25
2017-03-19,22
2017-03-26,22
2017-04-02,23
2017-04-09,24
2017-04-16,22
2017-04-23,22
2017-04-30,24
2017-05-07,24
2017-05-14,26
2017-05-21,21
2017-05-28,22
2017-06-04,23
2017-06-11,25
2017-06-18,26
2017-06-25,22
2017-07-02,19
2017-07-09,22
2017-07-16,23
2017-07-23,30
2017-07-30,29
2017-08-06,24
2017-08-13,23
2017-08-20,22
2017-08-27,24
2017-09-03,17
2017-09-10,21
2017-09-17,19
2017-09-24,38
2017-10-01,73
2017-10-08,100
2017-10-15,99
2017-10-22,89
2017-10-29,70
2017-11-05,60
2017-11-12,40
2017-11-19,35
2017-11-26,42
2017-12-03,47
2017-12-10,47
2017-12-17,60
2017-12-24,37
2017-12-31,38
2018-01-07,41
2018-01-14,41
2018-01-21,37
2018-01-28,37
2018-02-04,36
2018-02-11,36
2018-02-18,28
2018-02-25,25
2018-03-04,24
2018-03-11,23
2018-03-18,23
2018-03-25,23
2018-04-01,24
2018-04-08,24
2018-04-15,26
2018-04-22,21
2018-04-29,20
2018-05-06,23
2018-05-13,23
2018-05-20,27
2018-05-27,23
2018-06-03,27
2018-06-10,23
