Week,wikipedia: (Puerto Rico)
2017-01-01,89
2017-01-08,61
2017-01-15,100
2017-01-22,77
2017-01-29,77
2017-02-05,88
2017-02-12,82
2017-02-19,73
2017-02-26,92
2017-03-05,69
2017-03-12,83
2017-03-19,72
2017-03-26,69
2017-04-02,73
2017-04-09,75
2017-04-16,83
2017-04-23,70
2017-04-30,72
2017-05-07,84
2017-05-14,59
2017-05-21,63
2017-05-28,57
2017-06-04,63
2017-06-11,67
2017-06-18,72
2017-06-25,65
2017-07-02,55
2017-07-09,65
2017-07-16,52
2017-07-23,63
2017-07-30,58
2017-08-06,57
2017-08-13,55
2017-08-20,75
2017-08-27,82
2017-09-03,69
2017-09-10,67
2017-09-17,66
2017-09-24,50
2017-10-01,42
2017-10-08,41
2017-10-15,52
2017-10-22,52
2017-10-29,58
2017-11-05,48
2017-11-12,77
2017-11-19,33
2017-11-26,48
2017-12-03,56
2017-12-10,73
2017-12-17,64
2017-12-24,60
2017-12-31,44
2018-01-07,64
2018-01-14,54
2018-01-21,63
2018-01-28,67
2018-02-04,90
2018-02-11,62
2018-02-18,74
2018-02-25,64
2018-03-04,57
2018-03-11,58
2018-03-18,65
2018-03-25,72
2018-04-01,92
2018-04-08,68
2018-04-15,59
2018-04-22,69
2018-04-29,71
2018-05-06,61
2018-05-13,60
2018-05-20,46
2018-05-27,53
2018-06-03,41
2018-06-10,57
